0.0005,0.005,0.9,0.35,0.65,0.75,0.95,1.1,1.2,0.05,0.5,0.8
3378,4409,2579,2923,2834,4936,3263,2775,3009,3710,2794,3212
2571,2433,2737,3489,2850,3079,3550,3719,3039,4564,2235,2852
3481,2254,2893,3053,2776,3705,4622,3316,2599,3454,3289,2952
2876,2634,3910,2540,2859,3576,2492,2282,2988,3174,3601,3262
3042,3010,3196,3680,4254,3942,2676,2859,2546,4255,2368,3514
2849,2432,2466,3292,2579,2433,2950,3921,3517,2610,3322,2713
2491,3376,5502,2850,3258,3971,2284,3564,2704,3940,3249,2392
3609,2858,2785,2983,3047,2999,2861,3939,3376,2500,3240,2337
3242,2806,2816,2752,3327,3505,3762,2932,2770,2511,3325,2467
2101,3834,2763,3590,2496,2916,2413,4736,3034,2330,2353,2998
3645,3038,2329,2762,2697,3990,2715,2554,3672,3385,3047,3601
2755,3209,3563,2440,4046,4528,4488,2384,2898,3074,2926,2898
2876,2182,2904,3435,2442,2667,2427,2875,4106,3153,3345,3817
2985,3620,3614,4198,4029,4192,2854,2917,2853,3346,4344,3032
2777,3011,2441,3967,5335,3460,3648,3180,2705,3068,3910,2486
2876,4125,3109,3216,2196,5766,3957,2975,3164,3545,2534,4033
2979,2952,3985,3266,2878,4154,3454,3152,3880,3241,2703,2893
4446,3190,2694,3672,4035,3625,2433,4337,4137,3334,3485,2730
4136,2658,3000,3321,2553,3953,3870,3085,2673,4087,3489,4223
3452,4292,3703,3138,2886,2538,4347,3255,3038,2407,3479,2927
2977,3946,2660,3364,3745,3267,2662,2684,3550,3239,2191,3361
3579,2601,3570,3680,2351,3300,3421,3504,2985,2835,3234,3476
3024,2960,4290,2543,2373,3227,3753,1769,3314,3284,2417,3439
2355,2647,3891,2235,3330,2721,4730,2795,5668,2001,2920,4172
3772,2878,2483,3377,2058,3310,3954,2944,2920,5269,2682,2646
3256,3811,3310,3233,3025,3387,4395,3211,3066,2759,3443,2851
2645,3576,2792,2867,3945,2726,3015,3257,3645,4281,3024,4765
4610,3785,3484,2389,3006,3070,2556,3263,2821,3888,3408,3652
3184,2643,3221,2935,3324,2744,4452,2812,4037,3355,2888,3175
2812,3527,2900,2695,3592,4233,3247,3824,3932,4028,4486,3209
3441,3359,3601,2602,3791,2770,4831,2815,3167,3836,3631,2521
2536,2462,3953,3034,2507,2641,3266,2994,3721,3044,4489,3584
2371,2700,2630,2589,3492,2720,2696,3510,2192,2394,2462,2490
2591,3103,2421,3073,3281,4836,3351,2774,4292,3245,3345,4630
2510,3288,2922,2275,2761,2540,1978,3995,3688,2611,2974,3130
2494,2529,2844,3765,2654,2998,4957,2316,2240,2531,2820,2681
2861,2159,2849,2495,2605,3371,2753,2399,3454,3228,3117,3169
3457,2909,3878,3283,3153,3241,2624,2899,2669,3316,3463,5111
2437,3125,4037,2715,3714,3437,2415,2460,3253,3044,3199,2569
4554,3173,3201,3620,3525,2980,3587,3162,3233,4252,3519,2850
3497,2308,3020,3423,3686,2567,2948,3112,4701,3185,3133,3053
2712,3689,2462,2305,4302,4529,3109,2949,3956,2856,2388,2905
3644,4087,3426,3406,3224,4165,2528,3728,3176,2423,4009,3072
5646,3515,3124,4179,3992,2948,2962,3913,2508,2400,3529,4211
3205,2333,2960,3050,3270,2499,4840,3895,2059,3331,3254,2038
3246,3973,2987,2344,3022,3153,2779,3469,2951,2838,4509,3626
2316,4803,2693,2091,3111,2963,2792,2446,2914,3051,3688,2849
2378,2708,4491,3453,3744,3970,3710,2193,3995,2659,2753,3158
2273,3311,2971,3105,3070,3233,3557,2549,3368,3674,2370,2623
3080,2785,2830,3820,3002,3703,2740,3628,3247,2893,4122,2318
